"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"192",192,"4.7,3.9,0",4.7,3.9,0,0.9542,13.1853,5.0684,5.039,2.2665,13.1763,4.16,4.1307,1.6202,1.6088,0.6329,0.6286,0.2675,0.266,0,1.21824087740213
"193",193,"4.6,4.1,3.9",4.6,4.1,3.9,0.9537,12.9047,4.9606,4.9317,2.2183,13.6886,4.304,4.2736,1.6745,12.579,3.3759,3.3492,1.2018,1.1927,1,1.20648390125836
"194",194,"4.9,3.9,3.2",4.9,3.9,3.2,0.9785,13.7463,5.2841,5.2534,2.363,13.2721,4.2007,4.1711,1.6372,10.5826,2.8748,2.8523,1.0321,1.0244,1,1.27638216929967
"195",195,"5.1,4.8,3.9",5.1,4.8,3.9,0.999,14.3074,5.4998,5.4678,2.4594,15.8889,4.9807,4.9455,1.9363,12.8389,3.4767,3.4493,1.2431,1.2337,1,1.33989336292008
"196",196,"4,3.2,0",4,3.2,0,0.6121,11.2215,4.3135,4.2885,1.9289,10.8801,3.4425,3.4183,1.3416,1.3321,0.5247,0.5211,0.2223,0.221,0,1.03520877190447
"197",197,"5.3,5.1,4",5.3,5.1,4,0.9998,14.8685,5.7154,5.6822,2.5558,16.825,5.2678,5.2306,2.0473,13.229,3.5891,3.5609,1.2843,1.2746,1,1.3937905796816
"198",198,"4,3.3,0",4,3.3,0,0.6159,11.2215,4.3135,4.2885,1.9289,11.1602,3.5247,3.4999,1.3729,1.3632,0.5364,0.5327,0.2268,0.2255,0,1.03654489362903
"199",199,"4,3.3,0",4,3.3,0,0.6159,11.2215,4.3135,4.2885,1.9289,11.1602,3.5247,3.4999,1.3729,1.3632,0.5364,0.5327,0.2268,0.2255,0,1.03654489362903
"200",200,"4.2,4.2,4",4.2,4.2,4,0.8399,11.7826,4.5292,4.5029,2.0254,13.777,4.3047,4.2743,1.6721,12.8564,3.4425,3.4153,1.2223,1.213,1,1.10884094306296
"201",201,"5,4,0",5,4,0,0.9881,14.0269,5.3919,5.3606,2.4112,13.6001,4.3032,4.2729,1.677,1.6651,0.6559,0.6514,0.2779,0.2763,1,1.29401096488059
"202",202,"4.1,4,4",4.1,4,4,0.746,11.502,4.4214,4.3957,1.9772,13.1688,4.1201,4.091,1.6009,12.7857,3.4153,3.3883,1.2113,1.2021,1,1.08135737769589
"203",203,"4.4,4,4",4.4,4,4,0.8908,12.3436,4.7449,4.7173,2.1218,13.3126,4.1811,4.1516,1.6262,12.8109,3.4265,3.3994,1.2171,1.2079,1,1.15579134344979
"204",204,"4.7,4,3.3",4.7,4,3.3,0.9615,13.1853,5.0684,5.039,2.2665,13.4564,4.2422,4.2122,1.6516,10.8768,2.9489,2.9258,1.0565,1.0486,1,1.22836185494022
"205",205,"4,3.5,3.5",4,3.5,3.5,0.6264,11.2215,4.3135,4.2885,1.9289,11.7204,3.689,3.663,1.4356,11.2222,3.0038,2.9801,1.0679,1.0598,0,1.04853440839552
"206",206,"5.4,5.3,4",5.4,5.3,4,0.9999,15.149,5.8233,5.7894,2.6041,17.4331,5.4525,5.414,2.1184,13.2996,3.6163,3.5879,1.2953,1.2856,1,1.42127414504868
"207",207,"4.2,4,4",4.2,4,4,0.8028,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,12.7942,3.4191,3.392,1.2132,1.204,1,1.10616869961385
