"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"289",289,"5.4,5,4.3",5.4,5,4.3,0.9999,15.149,5.8233,5.7894,2.6041,16.5929,5.206,5.1693,2.0244,14.046,3.7906,3.7608,1.353,1.3428,1,1.41806440313079
"290",290,"4.3,3.3,0",4.3,3.3,0,0.77,12.0631,4.6371,4.6101,2.0736,11.304,3.5857,3.5605,1.3983,1.3884,0.5476,0.5439,0.2327,0.2313,0,1.11097885938293
"291",291,"5.4,4.6,4.3",5.4,4.6,4.3,0.9996,15.149,5.8233,5.7894,2.6041,15.4725,4.8775,4.8431,1.8989,13.9214,3.7437,3.7142,1.335,1.3249,1,1.41271991623257
"292",292,"5.2,4.3,3.3",5.2,4.3,3.3,0.9974,14.5879,5.6076,5.575,2.5076,14.5363,4.5903,4.558,1.7879,11.0122,3.0028,2.9793,1.0798,1.0718,1,1.35642682970372
"293",293,"5.3,4.3,4.1",5.3,4.3,4.1,0.9985,14.8685,5.7154,5.6822,2.5558,14.5842,4.6107,4.5782,1.7964,13.2599,3.5651,3.537,1.2719,1.2623,1,1.38336781363709
"294",294,"4.6,4.6,4.3",4.6,4.6,4.3,0.9859,12.9047,4.9606,4.9317,2.2183,15.0891,4.7147,4.6814,1.8313,13.8543,3.7138,3.6845,1.3194,1.3094,1,1.21422934088883
"295",295,"5,4.6,4.3",5,4.6,4.3,0.9977,14.0269,5.3919,5.3606,2.4112,15.2808,4.7961,4.7622,1.8651,13.8879,3.7288,3.6993,1.3272,1.3172,1,1.3134746285607
"296",296,"5.5,5.1,4.3",5.5,5.1,4.3,1,15.4296,5.9311,5.8967,2.6523,16.9209,5.3085,5.2711,2.0642,14.0855,3.8061,3.7761,1.3595,1.3493,1,1.44421184677332
"297",297,"5.2,4.4,4.3",5.2,4.4,4.3,0.9983,14.5879,5.6076,5.575,2.5076,14.8163,4.6724,4.6395,1.8193,13.8424,3.7128,3.6835,1.3221,1.3121,1,1.36042502894753
"298",298,"5,4.3,3.5",5,4.3,3.5,0.994,14.0269,5.3919,5.3606,2.4112,14.4404,4.5496,4.5175,1.771,11.5552,3.135,3.1103,1.1235,1.115,1,1.30733660137164
"299",299,"5.4,5.2,4.3",5.4,5.2,4.3,0.9999,15.149,5.8233,5.7894,2.6041,17.1531,5.3703,5.3324,2.0871,14.1082,3.8141,3.7841,1.3621,1.3518,1,1.4207366465799
"300",300,"5.3,4.6,4.3",5.3,4.6,4.3,0.9994,14.8685,5.7154,5.6822,2.5558,15.4245,4.8571,4.8229,1.8905,13.9131,3.74,3.7105,1.333,1.323,1,1.38790859431461
"301",301,"4.9,4.3,0",4.9,4.3,0,0.9906,13.7463,5.2841,5.2534,2.363,14.3925,4.5293,4.4973,1.7626,1.7501,0.6873,0.6826,0.2895,0.2878,1,1.27320800813629
"302",302,"5.2,4.3,4.1",5.2,4.3,4.1,0.9976,14.5879,5.6076,5.575,2.5076,14.5363,4.5903,4.558,1.7879,13.2515,3.5614,3.5333,1.27,1.2604,1,1.35855649171912
"303",303,"4.3,3.3,3.2",4.3,3.3,3.2,0.77,12.0631,4.6371,4.6101,2.0736,11.304,3.5857,3.5605,1.3983,10.3454,2.7821,2.7602,0.9934,0.9859,0,1.11949750744454
"304",304,"4.9,4.9,4.3",4.9,4.9,4.3,0.9986,13.7463,5.2841,5.2534,2.363,16.0731,5.0222,4.9867,1.9507,13.9729,3.7602,3.7306,1.3388,1.3287,1,1.2926716718164
"305",305,"4.7,4.3,0",4.7,4.3,0,0.9782,13.1853,5.0684,5.039,2.2665,14.2967,4.4886,4.4569,1.7457,1.7333,0.6798,0.6752,0.2856,0.2839,1,1.22358536430035
"306",306,"4.3,0,0",4.3,0,0,0.7384,12.0631,4.6371,4.6101,2.0736,2.0606,0.8749,0.8691,0.3635,0.3611,0.1605,0.1596,0.0836,0.0833,0,1.06688684247262
"307",307,"5.3,4.3,0",5.3,4.3,0,0.9983,14.8685,5.7154,5.6822,2.5558,14.5842,4.6107,4.5782,1.7964,1.7837,0.7022,0.6974,0.2973,0.2955,1,1.37245329580816
"308",308,"4.3,3.8,0",4.3,3.8,0,0.8201,12.0631,4.6371,4.6101,2.0736,12.7045,3.9965,3.9683,1.5551,1.544,0.6063,0.6021,0.2552,0.2537,0,1.11765946800571
"309",309,"4.5,4.3,4.2",4.5,4.3,4.2,0.9546,12.6242,4.8527,4.8245,2.1701,14.2008,4.4479,4.4165,1.7288,13.4726,3.6051,3.5766,1.2802,1.2704,1,1.18514344604527
"310",310,"5.5,4.3,3.7",5.5,4.3,3.7,0.9993,15.4296,5.9311,5.8967,2.6523,14.6801,4.6514,4.6186,1.8133,12.157,3.2933,3.2674,1.1807,1.1719,1,1.43192562646533
"311",311,"5.5,4.3,3",5.5,4.3,3,0.9993,15.4296,5.9311,5.8967,2.6523,14.6801,4.6514,4.6186,1.8133,10.1977,2.8045,2.7826,1.0143,1.0068,1,1.43006217220185
"312",312,"4.4,4.3,3.7",4.4,4.3,3.7,0.9299,12.3436,4.7449,4.7173,2.1218,14.1529,4.4275,4.3963,1.7203,12.0646,3.2522,3.2266,1.1594,1.1506,1,1.15900108536768
"313",313,"4.3,3.3,0",4.3,3.3,0,0.77,12.0631,4.6371,4.6101,2.0736,11.304,3.5857,3.5605,1.3983,1.3884,0.5476,0.5439,0.2327,0.2313,0,1.11097885938293
"314",314,"4.3,0,0",4.3,0,0,0.7384,12.0631,4.6371,4.6101,2.0736,2.0606,0.8749,0.8691,0.3635,0.3611,0.1605,0.1596,0.0836,0.0833,0,1.06688684247262
"315",315,"4.3,4,3.5",4.3,4,3.5,0.8501,12.0631,4.6371,4.6101,2.0736,13.2647,4.1608,4.1314,1.6178,11.403,3.0737,3.0494,1.0963,1.088,1,1.1296489827722
"316",316,"5,4.6,4.3",5,4.6,4.3,0.9977,14.0269,5.3919,5.3606,2.4112,15.2808,4.7961,4.7622,1.8651,13.8879,3.7288,3.6993,1.3272,1.3172,1,1.3134746285607
"317",317,"4.5,4.3,4.1",4.5,4.3,4.1,0.954,12.6242,4.8527,4.8245,2.1701,14.2008,4.4479,4.4165,1.7288,13.1927,3.5353,3.5073,1.2564,1.2469,1,1.18487723829335
"318",318,"4.4,4.3,3.4",4.4,4.3,3.4,0.9292,12.3436,4.7449,4.7173,2.1218,14.1529,4.4275,4.3963,1.7203,11.2249,3.0428,3.0188,1.088,1.0798,1,1.1582024621119
"319",319,"4.3,3.7,0",4.3,3.7,0,0.8072,12.0631,4.6371,4.6101,2.0736,12.4244,3.9143,3.8867,1.5237,1.5129,0.5945,0.5904,0.2507,0.2492,0,1.11632334628115
"320",320,"5.1,4.4,4.3",5.1,4.4,4.3,0.9974,14.3074,5.4998,5.4678,2.4594,14.7685,4.6521,4.6193,1.8108,13.834,3.7091,3.6798,1.3201,1.3101,1,1.33561370702956
"321",321,"4.3,3.7,3.6",4.3,3.7,3.6,0.8074,12.0631,4.6371,4.6101,2.0736,12.4244,3.9143,3.8867,1.5237,11.5896,3.1083,3.0838,1.1065,1.0982,1,1.12590682535046
"322",322,"4.3,3.5,3.3",4.3,3.5,3.3,0.7858,12.0631,4.6371,4.6101,2.0736,11.8642,3.75,3.7236,1.461,10.6876,2.8754,2.8527,1.0262,1.0184,0,1.12243595864557
"323",323,"5.5,4.6,4.3",5.5,4.6,4.3,0.9998,15.4296,5.9311,5.8967,2.6523,15.5204,4.8978,4.8633,1.9074,13.9299,3.7474,3.7179,1.3369,1.3268,1,1.43753123815054
"324",324,"4.3,3.7,0",4.3,3.7,0,0.8072,12.0631,4.6371,4.6101,2.0736,12.4244,3.9143,3.8867,1.5237,1.5129,0.5945,0.5904,0.2507,0.2492,0,1.11632334628115
"325",325,"5.4,4.5,4.3",5.4,4.5,4.3,0.9995,15.149,5.8233,5.7894,2.6041,15.1923,4.7953,4.7615,1.8676,13.8903,3.732,3.7026,1.3305,1.3204,1,1.41138379450802
"326",326,"4.3,4.2,3.3",4.3,4.2,3.3,0.8819,12.0631,4.6371,4.6101,2.0736,13.8249,4.3251,4.2945,1.6805,10.9055,2.9575,2.9342,1.0578,1.0498,1,1.13178881071746
"327",327,"4.3,4.3,3.6",4.3,4.3,3.6,0.8985,12.0631,4.6371,4.6101,2.0736,14.105,4.4072,4.376,1.7119,11.7763,3.1787,3.1536,1.1336,1.1251,1,1.13392355569779
"328",328,"4.3,3.6,3.5",4.3,3.6,3.5,0.7958,12.0631,4.6371,4.6101,2.0736,12.1443,3.8322,3.8052,1.4924,11.2785,3.0267,3.0029,1.0782,1.0701,0,1.12430449587398
"329",329,"4.3,3.2,0",4.3,3.2,0,0.764,12.0631,4.6371,4.6101,2.0736,11.0239,3.5036,3.4789,1.3669,1.3573,0.5359,0.5322,0.2281,0.2268,0,1.10964273765838
"330",330,"4.3,0,0",4.3,0,0,0.7384,12.0631,4.6371,4.6101,2.0736,2.0606,0.8749,0.8691,0.3635,0.3611,0.1605,0.1596,0.0836,0.0833,0,1.06688684247262
"331",331,"4.8,4.4,4.2",4.8,4.4,4.2,0.9899,13.4658,5.1762,5.1462,2.3147,14.6247,4.5911,4.5587,1.7855,13.5289,3.628,3.5994,1.2905,1.2807,1,1.26091353352373
"332",332,"4.4,4.4,4",4.4,4.4,4,0.9431,12.3436,4.7449,4.7173,2.1218,14.433,4.5097,4.4778,1.7517,12.9355,3.4734,3.446,1.2352,1.2258,1,1.16113583034801
"333",333,"4.4,4.3,0",4.4,4.3,0,0.9283,12.3436,4.7449,4.7173,2.1218,14.1529,4.4275,4.3963,1.7203,1.7081,0.6686,0.664,0.2798,0.2781,0,1.14915139854645
"334",334,"4.4,4,0",4.4,4,0,0.8892,12.3436,4.7449,4.7173,2.1218,13.3126,4.1811,4.1516,1.6262,1.6147,0.6335,0.6291,0.2662,0.2646,0,1.14514303337278
"335",335,"4.6,4.4,4.3",4.6,4.4,4.3,0.9765,12.9047,4.9606,4.9317,2.2183,14.5288,4.5504,4.5182,1.7686,13.792,3.6904,3.6612,1.3104,1.3004,1,1.21155709743972
"336",336,"5,4.4,0",5,4.4,0,0.9951,14.0269,5.3919,5.3606,2.4112,14.7206,4.6318,4.5991,1.8024,1.7896,0.7028,0.6979,0.2959,0.2942,1,1.29935545177881
"337",337,"4.5,4.4,4.1",4.5,4.4,4.1,0.9626,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,13.2238,3.547,3.519,1.2609,1.2513,1,1.1862133600179
"338",338,"4.4,3.8,0",4.4,3.8,0,0.8624,12.3436,4.7449,4.7173,2.1218,12.7524,4.0168,3.9885,1.5635,1.5524,0.61,0.6058,0.2572,0.2557,0,1.14247078992367
"339",339,"5.4,4.8,4.4",5.4,4.8,4.4,0.9998,15.149,5.8233,5.7894,2.6041,16.0326,5.0417,5.0062,1.9616,14.2636,3.837,3.8067,1.3678,1.3575,1,1.41565836743361
"340",340,"4.4,4,0",4.4,4,0,0.8892,12.3436,4.7449,4.7173,2.1218,13.3126,4.1811,4.1516,1.6262,1.6147,0.6335,0.6291,0.2662,0.2646,0,1.14514303337278
"341",341,"4.9,4.4,0",4.9,4.4,0,0.9925,13.7463,5.2841,5.2534,2.363,14.6726,4.6114,4.5789,1.7939,1.7812,0.699,0.6942,0.294,0.2923,1,1.27454412986084
"342",342,"5.3,4.4,3.8",5.3,4.4,3.8,0.9987,14.8685,5.7154,5.6822,2.5558,14.8643,4.6928,4.6597,1.8278,12.4513,3.3674,3.3409,1.2051,1.1961,1,1.38390531210587
"343",343,"4.6,4.4,4.1",4.6,4.4,4.1,0.9755,12.9047,4.9606,4.9317,2.2183,14.5288,4.5504,4.5182,1.7686,13.2322,3.5507,3.5227,1.2628,1.2533,1,1.21102468193587
"344",344,"4.4,4.3,3.5",4.4,4.3,3.5,0.9294,12.3436,4.7449,4.7173,2.1218,14.1529,4.4275,4.3963,1.7203,11.5048,3.1126,3.0881,1.1118,1.1034,1,1.15846866986383
"345",345,"4.5,4.4,3.1",4.5,4.4,3.1,0.9599,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,10.4247,2.8487,2.8264,1.0232,1.0155,1,1.18355128249865
"346",346,"4.4,4.2,3.2",4.4,4.2,3.2,0.9164,12.3436,4.7449,4.7173,2.1218,13.8728,4.3454,4.3147,1.689,10.634,2.8914,2.8687,1.036,1.0282,1,1.1563339248835
"347",347,"4.4,3.7,3.2",4.4,3.7,3.2,0.8502,12.3436,4.7449,4.7173,2.1218,12.4723,3.9347,3.9069,1.5322,10.4783,2.8327,2.8104,1.0134,1.0058,0,1.14965331626072
"348",348,"4.4,3.7,3.3",4.4,3.7,3.3,0.8502,12.3436,4.7449,4.7173,2.1218,12.4723,3.9347,3.9069,1.5322,10.7582,2.9025,2.8797,1.0372,1.0294,0,1.14991952401265
"349",349,"4.4,4.1,4",4.4,4.1,4,0.9048,12.3436,4.7449,4.7173,2.1218,13.5927,4.2633,4.2332,1.6576,12.8421,3.4382,3.4111,1.2216,1.2124,1,1.15712746517434
"350",350,"4.4,3.5,0",4.4,3.5,0,0.8285,12.3436,4.7449,4.7173,2.1218,11.9121,3.7704,3.7438,1.4695,1.4591,0.5748,0.5709,0.2436,0.2422,0,1.13846242475001
"351",351,"4.9,4.4,4.4",4.9,4.4,4.4,0.9939,13.7463,5.2841,5.2534,2.363,14.6726,4.6114,4.5789,1.7939,14.0971,3.7714,3.7416,1.34,1.3298,1,1.28625727094555
"352",352,"4.4,3.4,3.1",4.4,3.4,3.1,0.8196,12.3436,4.7449,4.7173,2.1218,11.632,3.6882,3.6623,1.4381,10.105,2.7277,2.7062,0.9761,0.9687,0,1.14537874333513
"353",353,"4.5,4.4,0",4.5,4.4,0,0.9595,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,1.7476,0.6841,0.6794,0.2862,0.2845,0,1.17529884218897
"354",354,"4.4,3.2,0",4.4,3.2,0,0.8054,12.3436,4.7449,4.7173,2.1218,11.0718,3.5239,3.4991,1.3754,1.3657,0.5396,0.5359,0.2301,0.2288,0,1.13445405957634
"355",355,"4.9,4.7,4.4",4.9,4.7,4.4,0.9975,13.7463,5.2841,5.2534,2.363,15.5129,4.8579,4.8235,1.888,14.1905,3.8066,3.7765,1.3536,1.3433,1,1.29026563611921
"356",356,"4.4,3.2,0",4.4,3.2,0,0.8054,12.3436,4.7449,4.7173,2.1218,11.0718,3.5239,3.4991,1.3754,1.3657,0.5396,0.5359,0.2301,0.2288,0,1.13445405957634
"357",357,"4.4,4.4,3.4",4.4,4.4,3.4,0.9407,12.3436,4.7449,4.7173,2.1218,14.433,4.5097,4.4778,1.7517,11.256,3.0545,3.0304,1.0925,1.0843,1,1.15953858383646
"358",358,"4.4,4.4,3.3",4.4,4.4,3.3,0.9405,12.3436,4.7449,4.7173,2.1218,14.433,4.5097,4.4778,1.7517,10.9761,2.9847,2.9612,1.0688,1.0608,1,1.15927237608453
"359",359,"4.4,0,0",4.4,0,0,0.7764,12.3436,4.7449,4.7173,2.1218,2.1085,0.8952,0.8893,0.3719,0.3695,0.1642,0.1633,0.0855,0.0852,0,1.09169816439058
"360",360,"4.6,4.4,4",4.6,4.4,4,0.975,12.9047,4.9606,4.9317,2.2183,14.5288,4.5504,4.5182,1.7686,12.9523,3.4809,3.4534,1.2391,1.2297,1,1.21075847418395
"361",361,"5.1,4.4,4.4",5.1,4.4,4.4,0.9975,14.3074,5.4998,5.4678,2.4594,14.7685,4.6521,4.6193,1.8108,14.1139,3.7789,3.749,1.3439,1.3337,1,1.33587991478149
"362",362,"4.4,4.2,4",4.4,4.2,4,0.9184,12.3436,4.7449,4.7173,2.1218,13.8728,4.3454,4.3147,1.689,12.8732,3.45,3.4227,1.2262,1.2168,1,1.1584635868989
"363",363,"4.7,4.4,3.1",4.7,4.4,3.1,0.9826,13.1853,5.0684,5.039,2.2665,14.5768,4.5707,4.5385,1.777,10.4415,2.8562,2.8338,1.0271,1.0194,1,1.23317392633459
"364",364,"5.3,4.4,0",5.3,4.4,0,0.9986,14.8685,5.7154,5.6822,2.5558,14.8643,4.6928,4.6597,1.8278,1.8148,0.714,0.7091,0.3018,0.3,1,1.37378941753271
"365",365,"4.9,4.8,4.4",4.9,4.8,4.4,0.9982,13.7463,5.2841,5.2534,2.363,15.793,4.94,4.9051,1.9194,14.2216,3.8183,3.7882,1.3581,1.3478,1,1.29160175784377
"366",366,"4.4,3.2,3.1",4.4,3.2,3.1,0.8054,12.3436,4.7449,4.7173,2.1218,11.0718,3.5239,3.4991,1.3754,10.0428,2.7042,2.683,0.967,0.9598,0,1.14270649988602
"367",367,"4.4,4.1,3.1",4.4,4.1,3.1,0.903,12.3436,4.7449,4.7173,2.1218,13.5927,4.2633,4.2332,1.6576,10.3229,2.8098,2.7878,1.0077,1.0001,1,1.15473159540702
"368",368,"5.5,4.4,3.2",5.5,4.4,3.2,0.9994,15.4296,5.9311,5.8967,2.6523,14.9601,4.7335,4.7001,1.8447,10.7886,2.9559,2.9328,1.0664,1.0585,1,1.43193070943025
"369",369,"5.4,4.5,4.4",5.4,4.5,4.4,0.9995,15.149,5.8233,5.7894,2.6041,15.1923,4.7953,4.7615,1.8676,14.1702,3.8018,3.7718,1.3542,1.344,1,1.41165000225994
"370",370,"4.4,3.5,3.5",4.4,3.5,3.5,0.8286,12.3436,4.7449,4.7173,2.1218,11.9121,3.7704,3.7438,1.4695,11.2558,3.0187,2.9949,1.0757,1.0675,0,1.14777969606739
"371",371,"4.4,4.4,0",4.4,4.4,0,0.9397,12.3436,4.7449,4.7173,2.1218,14.433,4.5097,4.4778,1.7517,1.7392,0.6804,0.6757,0.2843,0.2826,0,1.150487520271
"372",372,"5.1,4.4,3.5",5.1,4.4,3.5,0.9969,14.3074,5.4998,5.4678,2.4594,14.7685,4.6521,4.6193,1.8108,11.5947,3.1504,3.1257,1.1299,1.1215,1,1.33348404501416
"373",373,"4.7,4.4,3.8",4.7,4.4,3.8,0.9833,13.1853,5.0684,5.039,2.2665,14.5768,4.5707,4.5385,1.777,12.4009,3.345,3.3186,1.1935,1.1845,1,1.23503738059806
"374",374,"5,4.4,0",5,4.4,0,0.9951,14.0269,5.3919,5.3606,2.4112,14.7206,4.6318,4.5991,1.8024,1.7896,0.7028,0.6979,0.2959,0.2942,1,1.29935545177881
"375",375,"4.4,4.3,3.7",4.4,4.3,3.7,0.9299,12.3436,4.7449,4.7173,2.1218,14.1529,4.4275,4.3963,1.7203,12.0646,3.2522,3.2266,1.1594,1.1506,1,1.15900108536768
"376",376,"4.5,4,3.3",4.5,4,3.3,0.9207,12.6242,4.8527,4.8245,2.1701,13.3605,4.2014,4.1718,1.6347,10.86,2.9415,2.9183,1.0527,1.0447,1,1.17873921110428
"377",377,"5.1,4.5,4.5",5.1,4.5,4.5,0.9982,14.3074,5.4998,5.4678,2.4594,15.0486,4.7343,4.7009,1.8422,14.4249,3.8604,3.8299,1.3722,1.3618,1,1.33748224425797
"378",378,"4.8,4.5,3.8",4.8,4.5,3.8,0.9914,13.4658,5.1762,5.1462,2.3147,14.9048,4.6732,4.6402,1.8168,12.4404,3.3605,3.334,1.1999,1.1909,1,1.26118482424059
"379",379,"4.5,3.8,3.5",4.5,3.8,3.5,0.8977,12.6242,4.8527,4.8245,2.1701,12.8003,4.0372,4.0087,1.572,11.3576,3.0577,3.0336,1.0912,1.0829,1,1.17659938315902
"380",380,"5.2,4.5,3.1",5.2,4.5,3.1,0.9984,14.5879,5.6076,5.575,2.5076,15.0965,4.7546,4.7211,1.8507,10.5147,2.8866,2.864,1.0413,1.0336,1,1.35856665764898
"381",381,"4.5,0,0",4.5,0,0,0.8099,12.6242,4.8527,4.8245,2.1701,2.1565,0.9156,0.9096,0.3804,0.3779,0.168,0.167,0.0875,0.0871,0,1.11650948630855
"382",382,"5.2,4.5,3",5.2,4.5,3,0.9984,14.5879,5.6076,5.575,2.5076,15.0965,4.7546,4.7211,1.8507,10.2347,2.8168,2.7948,1.0175,1.01,1,1.35830044989706
"383",383,"5.3,4.5,3.2",5.3,4.5,3.2,0.999,14.8685,5.7154,5.6822,2.5558,15.1444,4.775,4.7413,1.8591,10.8029,2.9602,2.937,1.067,1.0591,1,1.38364418731887
"384",384,"5.5,4.5,4.3",5.5,4.5,4.3,0.9997,15.4296,5.9311,5.8967,2.6523,15.2403,4.8157,4.7817,1.876,13.8987,3.7357,3.7063,1.3324,1.3224,1,1.43619511642599
"385",385,"5.5,4.9,4.5",5.5,4.9,4.5,0.9999,15.4296,5.9311,5.8967,2.6523,16.3607,5.1442,5.1079,2.0015,14.5831,3.9223,3.8914,1.398,1.3875,1,1.44207201882806
"386",386,"5.5,4.5,0",5.5,4.5,0,0.9995,15.4296,5.9311,5.8967,2.6523,15.2403,4.8157,4.7817,1.876,1.8627,0.7332,0.7281,0.3102,0.3084,1,1.4247481830932
"387",387,"4.5,3.9,3.2",4.5,3.9,3.2,0.9091,12.6242,4.8527,4.8245,2.1701,13.0804,4.1193,4.0903,1.6033,10.549,2.8599,2.8374,1.0244,1.0167,1,1.1771368816278
"388",388,"4.5,4.4,3.6",4.5,4.4,3.6,0.9607,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,11.8243,3.1979,3.1727,1.142,1.1334,1,1.18488232125828
"389",389,"5.4,5.3,4.5",5.4,5.3,4.5,1,15.149,5.8233,5.7894,2.6041,17.4331,5.4525,5.414,2.1184,14.6992,3.9655,3.9342,1.4141,1.4035,1,1.42260518380831
"390",390,"5.3,4.5,4.4",5.3,4.5,4.4,0.9992,14.8685,5.7154,5.6822,2.5558,15.1444,4.775,4.7413,1.8591,14.1618,3.7981,3.7681,1.3523,1.3421,1,1.38683868034198
"391",391,"5.2,4.5,3.8",5.2,4.5,3.8,0.9985,14.5879,5.6076,5.575,2.5076,15.0965,4.7546,4.7211,1.8507,12.474,3.3754,3.3488,1.2077,1.1986,1,1.36043011191246
"392",392,"4.5,3.7,3.2",4.5,3.7,3.2,0.8862,12.6242,4.8527,4.8245,2.1701,12.5202,3.955,3.9271,1.5406,10.4867,2.8365,2.8141,1.0153,1.0077,0,1.17446463817869
"393",393,"4.5,4.4,3.6",4.5,4.4,3.6,0.9607,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,11.8243,3.1979,3.1727,1.142,1.1334,1,1.18488232125828
"394",394,"5,4.5,3",5,4.5,3,0.9962,14.0269,5.3919,5.3606,2.4112,15.0007,4.7139,4.6807,1.8338,10.2179,2.8093,2.7873,1.0136,1.0061,1,1.30867780606112
"395",395,"5.1,4.5,3.8",5.1,4.5,3.8,0.9977,14.3074,5.4998,5.4678,2.4594,15.0486,4.7343,4.7009,1.8422,12.4656,3.3716,3.3451,1.2058,1.1967,1,1.33561878999449
"396",396,"5,4.5,3.9",5,4.5,3.9,0.9965,14.0269,5.3919,5.3606,2.4112,15.0007,4.7139,4.6807,1.8338,12.7371,3.4377,3.4107,1.2276,1.2183,1,1.31107367582845
"397",397,"4.5,4.3,0",4.5,4.3,0,0.9511,12.6242,4.8527,4.8245,2.1701,14.2008,4.4479,4.4165,1.7288,1.7165,0.6724,0.6677,0.2817,0.28,0,1.17396272046442
"398",398,"4.5,3.5,3.2",4.5,3.5,3.2,0.8655,12.6242,4.8527,4.8245,2.1701,11.96,3.7907,3.764,1.4779,10.4245,2.813,2.7909,1.0063,0.9987,0,1.17179239472958
"399",399,"4.6,4.5,4.1",4.6,4.5,4.1,0.9806,12.9047,4.9606,4.9317,2.2183,14.809,4.6325,4.5998,1.7999,13.2633,3.5625,3.5343,1.2674,1.2578,1,1.21236080366043
"400",400,"4.5,4,3.2",4.5,4,3.2,0.9206,12.6242,4.8527,4.8245,2.1701,13.3605,4.2014,4.1718,1.6347,10.5801,2.8716,2.8491,1.0289,1.0212,1,1.17847300335236
"401",401,"5,4.5,0",5,4.5,0,0.9961,14.0269,5.3919,5.3606,2.4112,15.0007,4.7139,4.6807,1.8338,1.8207,0.7145,0.7096,0.3005,0.2987,1,1.30069157350337
"402",402,"4.8,4.5,3.5",4.8,4.5,3.5,0.9911,13.4658,5.1762,5.1462,2.3147,14.9048,4.6732,4.6402,1.8168,11.6007,3.151,3.1262,1.1286,1.1201,1,1.26038620098481
"403",403,"5,4.5,0",5,4.5,0,0.9961,14.0269,5.3919,5.3606,2.4112,15.0007,4.7139,4.6807,1.8338,1.8207,0.7145,0.7096,0.3005,0.2987,1,1.30069157350337
"404",404,"4.5,4.3,0",4.5,4.3,0,0.9511,12.6242,4.8527,4.8245,2.1701,14.2008,4.4479,4.4165,1.7288,1.7165,0.6724,0.6677,0.2817,0.28,0,1.17396272046442
"405",405,"4.5,4.3,3.4",4.5,4.3,3.4,0.9518,12.6242,4.8527,4.8245,2.1701,14.2008,4.4479,4.4165,1.7288,11.2333,3.0465,3.0225,1.09,1.0818,1,1.18301378402987
"406",406,"4.5,4.4,0",4.5,4.4,0,0.9595,12.6242,4.8527,4.8245,2.1701,14.4809,4.53,4.498,1.7601,1.7476,0.6841,0.6794,0.2862,0.2845,0,1.17529884218897
"407",407,"4.5,4.1,0",4.5,4.1,0,0.9314,12.6242,4.8527,4.8245,2.1701,13.6406,4.2836,4.2534,1.6661,1.6542,0.6489,0.6444,0.2727,0.2711,0,1.17129047701531
"408",408,"5.3,4.5,3",5.3,4.5,3,0.999,14.8685,5.7154,5.6822,2.5558,15.1444,4.775,4.7413,1.8591,10.2431,2.8205,2.7985,1.0195,1.0119,1,1.38311177181502
"409",409,"5.3,5.2,4.5",5.3,5.2,4.5,0.9999,14.8685,5.7154,5.6822,2.5558,17.1051,5.35,5.3122,2.0786,14.6597,3.95,3.9189,1.4077,1.397,1,1.39645774016579
"410",410,"5.3,4.5,4.4",5.3,4.5,4.4,0.9992,14.8685,5.7154,5.6822,2.5558,15.1444,4.775,4.7413,1.8591,14.1618,3.7981,3.7681,1.3523,1.3421,1,1.38683868034198
"411",411,"4.5,4.5,4.3",4.5,4.5,4.3,0.9716,12.6242,4.8527,4.8245,2.1701,14.7611,4.6122,4.5796,1.7915,13.8147,3.6984,3.6691,1.313,1.303,1,1.18808189724631
"412",412,"4.5,3.3,3.1",4.5,3.3,3.1,0.8487,12.6242,4.8527,4.8245,2.1701,11.3998,3.6264,3.6009,1.4152,10.0823,2.7197,2.6983,0.9735,0.9662,0,1.16885394352855
"413",413,"4.9,4.5,3.4",4.9,4.5,3.4,0.9942,13.7463,5.2841,5.2534,2.363,14.9527,4.6936,4.6604,1.8253,11.3292,3.0849,3.0607,1.1068,1.0985,1,1.28493131515085
"414",414,"5.4,4.5,3.5",5.4,4.5,3.5,0.9993,15.149,5.8233,5.7894,2.6041,15.1923,4.7953,4.7615,1.8676,11.6511,3.1734,3.1485,1.1403,1.1318,1,1.40925413249262
"415",415,"5.4,4.5,4.3",5.4,4.5,4.3,0.9995,15.149,5.8233,5.7894,2.6041,15.1923,4.7953,4.7615,1.8676,13.8903,3.732,3.7026,1.3305,1.3204,1,1.41138379450802
"416",416,"5.5,4.5,0",5.5,4.5,0,0.9995,15.4296,5.9311,5.8967,2.6523,15.2403,4.8157,4.7817,1.876,1.8627,0.7332,0.7281,0.3102,0.3084,1,1.4247481830932
"417",417,"4.5,3.4,3.3",4.5,3.4,3.3,0.8566,12.6242,4.8527,4.8245,2.1701,11.6799,3.7086,3.6825,1.4466,10.6732,2.8711,2.8485,1.0256,1.0178,0,1.17072248075695
