"","X","Doses","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","B=b1d1+b2d2+b3d3"
"1",1,"2,0,0,0",0,5.611,2.157,2.144,0.964,0.958,0.407,0.404,0.169,0.168,0.075,0.074,0.039,0.039,0.519971303853958
"2",2,"2.4,0,0,0",0,6.733,2.588,2.573,1.157,1.15,0.488,0.485,0.203,0.202,0.09,0.089,0.047,0.046,0.62396556462475
"3",3,"2.5,3,0,0",0,7.013,2.696,2.68,1.206,9.601,2.973,2.952,1.152,1.144,0.445,0.442,0.184,0.183,0.660775105400424
"4",4,"2.5,0,0,0",0,7.013,2.696,2.68,1.206,1.198,0.509,0.505,0.211,0.21,0.093,0.093,0.049,0.048,0.649964129817448
"5",5,"2.6,0,0,0",0.002,7.294,2.804,2.787,1.254,1.246,0.529,0.526,0.22,0.218,0.097,0.097,0.051,0.05,0.675962695010145
"6",6,"2.7,0,0,0",0.006,7.575,2.912,2.895,1.302,1.294,0.549,0.546,0.228,0.227,0.101,0.1,0.052,0.052,0.701961260202843
"7",7,"2.9,0,0,0",0.029,8.136,3.127,3.109,1.398,1.39,0.59,0.586,0.245,0.244,0.108,0.108,0.056,0.056,0.753958390588239
"8",8,"3.1,0,0,0",0.086,8.697,3.343,3.324,1.495,1.486,0.631,0.627,0.262,0.26,0.116,0.115,0.06,0.06,0.805955520973635
"9",9,"3.2,0,0,0",0.128,8.977,3.451,3.431,1.543,1.533,0.651,0.647,0.27,0.269,0.119,0.119,0.062,0.062,0.831954086166333
"10",10,"3.4,0,0,0",0.234,9.538,3.667,3.645,1.64,1.629,0.692,0.687,0.287,0.286,0.127,0.126,0.066,0.066,0.883951216551729
"11",11,"3.5,0,0,0",0.295,9.819,3.774,3.752,1.688,1.677,0.712,0.707,0.296,0.294,0.131,0.13,0.068,0.068,0.909949781744427
"12",12,"3.7,0,0,0",0.421,10.38,3.99,3.967,1.784,1.773,0.753,0.748,0.313,0.311,0.138,0.137,0.072,0.072,0.961946912129822
"13",13,"3.8,0,0,0",0.482,10.66,4.098,4.074,1.832,1.821,0.773,0.768,0.321,0.319,0.142,0.141,0.074,0.074,0.98794547732252
"14",14,"3.9,0,0,0",0.541,10.941,4.206,4.181,1.881,1.869,0.794,0.788,0.33,0.328,0.146,0.145,0.076,0.076,1.01394404251522
"15",15,"4,0,0,0",0.597,11.222,4.314,4.288,1.929,1.917,0.814,0.808,0.338,0.336,0.149,0.148,0.078,0.077,1.03994260770792
"16",16,"4.1,0,0,0",0.649,11.502,4.421,4.396,1.977,1.965,0.834,0.829,0.347,0.344,0.153,0.152,0.08,0.079,1.06594117290061
"17",17,"4.1,3,3,0",0.661,11.502,4.421,4.396,1.977,10.368,3.299,3.275,1.287,9.675,2.6,2.579,0.928,0.921,1.07675214848359
"18",18,"4.2,0,0,0",0.696,11.783,4.529,4.503,2.025,2.013,0.855,0.849,0.355,0.353,0.157,0.156,0.082,0.081,1.09193973809331
"19",19,"4.2,3,0,0",0.71,11.783,4.529,4.503,2.025,10.416,3.319,3.296,1.296,1.287,0.509,0.505,0.217,0.216,1.10275071367629
"20",20,"4.2,3,3,0",0.71,11.783,4.529,4.503,2.025,10.416,3.319,3.296,1.296,9.684,2.603,2.583,0.93,0.923,1.10275071367629
"21",21,"4.3,0,0,0",0.738,12.063,4.637,4.61,2.074,2.061,0.875,0.869,0.363,0.361,0.161,0.16,0.084,0.083,1.11793830328601
