"","X.1","X","Doses","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","B.b1d1.b2d2","B=b1d1+b2d2"
"35",35,35,"4.6,4,0,0",0.944,12.905,4.961,4.932,2.218,13.408,4.222,4.192,1.643,1.631,0.641,0.637,0.27,0.269,98.1326878948545,1.21903862789046
"36",36,36,"4.8,0,0,0",0.887,13.466,5.176,5.146,2.315,2.3,0.977,0.97,0.406,0.403,0.179,0.178,0.093,0.093,100.705641769175,1.25100076112071
"37",37,37,"4.8,3,0,0",0.913,13.466,5.176,5.146,2.315,10.703,3.441,3.417,1.346,1.337,0.531,0.527,0.229,0.228,101.922977668721,1.26612293498305
"38",38,38,"4.8,4,0,0",0.974,13.466,5.176,5.146,2.315,13.504,4.262,4.232,1.66,1.648,0.648,0.644,0.274,0.272,102.328756301903,1.27116365960383
"39",39,39,"5.0,0,0,0",0.922,14.027,5.392,5.361,2.411,2.396,1.017,1.011,0.423,0.42,0.187,0.186,0.097,0.097,104.901710176224,1.30312579283408
"40",40,40,"5.0,3,0,0",0.948,14.027,5.392,5.361,2.411,10.799,3.482,3.457,1.363,1.354,0.539,0.535,0.233,0.231,106.11904607577,1.31824796669641
"41",41,41,"5.0,4,0,0",0.988,14.027,5.392,5.361,2.411,13.6,4.303,4.273,1.677,1.665,0.656,0.651,0.278,0.276,106.524824708952,1.32328869131719
"42",42,42,"5.2,0,0,0",0.946,14.588,5.608,5.575,2.508,2.492,1.058,1.051,0.44,0.437,0.194,0.193,0.101,0.101,109.097778583273,1.35525082454744
"43",43,43,"5.2,3,0,0",0.971,14.588,5.608,5.575,2.508,10.895,3.522,3.498,1.38,1.371,0.546,0.542,0.237,0.235,110.315114482819,1.37037299840977
"44",44,44,"5.2,4,0,0",0.995,14.588,5.608,5.575,2.508,13.696,4.344,4.313,1.694,1.682,0.663,0.659,0.282,0.28,110.720893116001,1.37541372303055
"45",45,45,"5.4,0,0,0",0.964,15.149,5.823,5.789,2.604,2.588,1.099,1.091,0.456,0.454,0.202,0.2,0.105,0.105,113.293846990322,1.4073758562608
"46",46,46,"5.4,3,0,0",0.984,15.149,5.823,5.789,2.604,10.991,3.563,3.538,1.397,1.387,0.553,0.55,0.24,0.239,114.511182889868,1.42249803012314
"47",47,47,"5.4,4,0,0",0.998,15.149,5.823,5.789,2.604,13.792,4.385,4.354,1.711,1.699,0.671,0.666,0.286,0.284,114.91696152305,1.42753875474392
"48",48,48,"5.6,0,0,0",0.976,15.71,6.039,6.004,2.701,2.684,1.139,1.132,0.473,0.47,0.209,0.208,0.109,0.108,117.489915397371,1.45950088797417
"49",49,49,"5.6,3,0,0",0.992,15.71,6.039,6.004,2.701,11.087,3.604,3.579,1.414,1.404,0.561,0.557,0.244,0.243,118.707251296917,1.4746230618365
"50",50,50,"5.6,4,0,0",0.999,15.71,6.039,6.004,2.701,13.888,4.425,4.394,1.728,1.715,0.678,0.674,0.29,0.288,119.113029930099,1.47966378645728
